spider_id,Experiment ,ZT,CT,Monitor,Lights On,source_file,year,monitor,alive,LD_period_h,LD_pvalue_FAP,LD_power,LD_n_days,LD_significant,LD_entrained,DD_period_h,DD_pvalue_FAP,DD_power,DD_n_days,DD_significant
MW_65_,,,,,,MW 0730-0813 Monitor1.txt,,1.0,True,29.45,7.3090190224761e-09,0.0104,4.0,True,False,24.479,1.1996279118913e-73,0.0269,10.0,True
MW_66_,True,,13.0,1.0,1am-1pm,MW 0730-0813 Monitor1.txt,,1.0,True,23.802,0.707640854587089,0.0037,4.0,False,False,23.833,4.10917947321973e-109,0.0389,10.0,True
MW_67_,True,17.0,,1.0,1am-1pm,MW 0730-0813 Monitor1.txt,,1.0,True,27.313,4.384225283379071e-54,0.0458,4.0,True,False,24.249,6.487426519378549e-288,0.0969,10.0,True
MW_71_,,,,,,MW 0730-0813 Monitor1.txt,,1.0,True,23.996,2.55964378291415e-56,0.0475,4.0,True,True,23.687,1.19805027028201e-101,0.0364,10.0,True
MW_7_,True,,1.0,1.0,8am-8pm,MW_2025-07-03_07-23_1.txt,,1.0,True,24.75,3.59386159555929e-42,0.0186,8.0,True,True,22.565,9.3661545207549e-73,0.0215,12.0,True
MW_85_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,22.831,7.02365200014074e-34,0.0153,8.0,True,True,23.821,1.12454046526409e-84,0.0822,4.0,True
MW_86_,True,,13.0,1.0,1am-1pm,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.953,2.32443429129525e-189,0.0748,8.0,True,True,26.953,1.7034321517416498e-48,0.0496,4.0,True
MW_87_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,25.479,0.0002189013700913,0.0035,8.0,True,False,23.756,2.15322900588491e-37,0.0393,4.0,True
MW_88_,True,,13.0,1.0,1am-1pm,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.364,3.6206636579263904e-23,0.0111,8.0,True,True,24.606,3.1113669169713296e-42,0.0438,4.0,True
MW_89_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.871,5.96478613451545e-104,0.0426,8.0,True,True,24.52,3.287986630324449e-77,0.0755,4.0,True
MW_90_,True,,17.0,1.0,1am-1pm,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.615,2.88727496829578e-63,0.0269,8.0,True,True,24.126,4.67238583065344e-40,0.0418,4.0,True
MW_91_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.71,9.56216745346113e-47,0.0204,8.0,True,True,23.833,4.07199893700387e-32,0.0344,4.0,True
MW_92_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,19.109,2.00770718222646e-21,0.0104,8.0,True,False,24.487,1.0896810174512499e-11,0.0151,4.0,True
MW_93_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,23.698,1.66320454867756e-45,0.0199,8.0,True,True,23.737,1.38826963228105e-08,0.0121,4.0,True
MW_94_,,,,,,MW 0915-0927 2025 Monitor1.txt,,1.0,True,,,,8.0,False,False,21.073,3.96889772534608e-22,0.025,4.0,True
