channel,id,date_collected
1,LC F 57,6/25/2025
2,LC F 58,6/25/2025
3,LC F 59,6/25/2025
4,LC F 60,6/25/2025
5,LC F 61,6/25/2025
6,LC F 62,6/25/2025
7,LC M 5,6/25/2025
